,,,,
Stoetnummer,AKV,In plex,Playlist,Thema
1,Verdwoldj en verloeren,TRUE,TRUE,As de Matthi nog azoei een bom lotj vallen..
4,n oeverschot,TRUE,TRUE,Den toid vliegt
19,dest goe schief,TRUE,TRUE,t stekt ni naas
25,Schie'dj oit,TRUE,TRUE,"Fiest in d'Oilsjterse stee, Schie'dj Oit viert 10 joor jubilee"
27,A'join,TRUE,TRUE,"Oeik al werremen aad en versleiten, ons leste noet es nog ni gestreiken!"
32,de brosselkeire,TRUE,TRUE,Weir hangen 't veirken oit!
35,Droeig,TRUE,TRUE,"t Es algemien geweiten, weir zen aal deir 't bistjen gebeiten"
40,de zwiejtollekes,TRUE,TRUE,Oilsjt es de kreem!
51,de zoipers,TRUE,TRUE,"Fistjen hier, fistjen door. De Zoipers bestoon 35 joor"
54,beplekt en bespoeten,TRUE,TRUE,Weir sloon tilt!
61,lekken en plekken,TRUE,TRUE,"Ons harlozje tikt deer, ver Vastelauved is nen Ajoin e giel joor in de weer"
66,de loizemaanen,TRUE,TRUE,"t Wiltj ni zeggen da men goed zen, da men goed zen!"
2,kledde me vel,FALSE,FALSE,50 joor Zorba: Yamas Oilsjt!
3,bjein treizen,FALSE,FALSE,De real housewives van Oilsjt
5,gebosjt,FALSE,FALSE,Nen Oilsjteneer val ni te temmen
6,beplekt of bezoepen,FALSE,FALSE,s
7,wazakkermèdoeng,FALSE,FALSE,
8,de tsjoepeneizen,FALSE,FALSE,
9,stièndoeid,FALSE,FALSE,
10,oeverboeft,FALSE,FALSE,
11,om en vedrom,FALSE,FALSE,
12,de schoitkitten,FALSE,FALSE,
13,minder es miër,FALSE,FALSE,
14,wadesdavoriet,FALSE,FALSE,
15,de droeve apostelen ,FALSE,FALSE,
16,tisj,FALSE,FALSE,
17,lossendeirdeveirdeirdeir,FALSE,FALSE,
18,de zwiejtzoel'n,FALSE,FALSE,
20,beschomt,FALSE,FALSE,
21,de snotneizen,FALSE,FALSE,
22,Geschalotterd,FALSE,FALSE,
24,t es noig,FALSE,FALSE,
26,Schelmeroi,FALSE,FALSE,
28,pladasj,FALSE,FALSE,
29,t es na of noeit,FALSE,FALSE,
30,Pjes Uniek,FALSE,FALSE,
31,Gratietanders,FALSE,FALSE,
33,De zieke Zjieratten 2x0,FALSE,FALSE,
34,De Zwisjelmoizen,FALSE,FALSE,
36,Geloeif mè goed,FALSE,FALSE,
37,De Melkmoilen,FALSE,FALSE,
38,Onzjier Zèn Préférés,FALSE,FALSE,
39,De toerenbijoekes,FALSE,FALSE,
41,zwisj,FALSE,TRUE,De Jooremert
42,bedesterd,FALSE,FALSE,
43,de salongcarnavalisten,FALSE,FALSE,
44,de lodderoeigen,FALSE,FALSE,
45,eirg,FALSE,FALSE,
46,lotjonslos,FALSE,FALSE,
47,de loge,FALSE,FALSE,
49,kompasje,FALSE,FALSE,
50,afgebesteld,FALSE,FALSE,
52,De saazers,FALSE,FALSE,
53,gekloetj,FALSE,FALSE,
55,bjein swanjee,FALSE,FALSE,
56,de sperrezjiekers,FALSE,FALSE,
57,de vismooil'n,FALSE,FALSE,
58,ajommoja,FALSE,FALSE,
59,de poipeplekkers,FALSE,FALSE,
60,t es ter oever,FALSE,FALSE,
62,nieje,FALSE,FALSE,
63,de popollekes,FALSE,FALSE,
64,de zjieverleppen,FALSE,FALSE,
65,de steijnzoel'n,FALSE,FALSE,
67,drasj,FALSE,FALSE,DRAsj teivei - weir zetten eir in de koiker
68,pertotal,FALSE,FALSE,Zwanst ewa mier!
69,possensje,FALSE,FALSE,De lesten es den besten
70,krejeis,FALSE,FALSE,Een daafken in de rigge
,,FALSE,FALSE,
,,FALSE,FALSE,
